TRADEDATE;AFLT;BSPB;FESH;GMKN;GTRK;IRKT;RASP;RUAL;SELG;SVCB;TRMK;UGLD;UNAC;ASTR;BANE;BELU;CHMF;DIAS;ENPG;LKOH;MDMG;MGNT;MTLR;MVID;NVTK;OZON;PHOR;PIKK;PLZL;POSI;RNFT;ROSN;SBER;SFIN;SIBN;SMLT;SPBE;TATN;VKCO;VTBR;WUSH;AQUA;DELI;ETLN;EUTR;LENT;LSRG;SVAV;UWGN;VSMO
2024-03-06;-0.004358974358974366;-0.010679153752863324;0.028196570376337826;0.009233239662786108;0.052351564162587794;0.0006557377049178914;0.005880097149431274;0.02962417096536485;0.027844311377245523;0.13589211618257258;0.008846261290623048;-0.006415094339622618;-0.007322175732217495;-0.0056125580987458346;-0.005101173269852044;0.002060085836909975;0.003692234397332017;-0.0123164763458401;0.006747638326585648;-0.0022001466764450806;0.03489771359807459;0.0003942181340341744;-0.007633587786259444;-0.0034482758620688614;0.03111971411554504;-0.0073485302939412245;-0.00469828219057411;0.00845477806207584;0.034006422946636805;-0.020782084994486416;0.01744186046511631;-0.0006831184356587139;-0.00803360112003737;-0.004096879142065246;-0.005835990614283082;-0.004052411184654825;0.009090909090909038;0.01766155531215774;-0.008505467800729027;-0.036367289531846425;-0.0031523642732048662;0.01342281879194629;-0.01650387335803294;0.007011755001031128;0.0980392156862746;-0.006609385327164596;-0.0022000000000000908;-0.0028571428571428914;-0.02148760330578503;-0.009389671361502372
2024-03-07;0.02317795518928656;-0.008581060373889171;-0.00503693754197454;0.0009281357730044348;-0.041658240647118316;0.0;0.002033295209048269;0.017034068136272618;0.020827264782988797;0.040867579908675955;0.011353147498615268;0.006329915179136503;-0.0024587284861258274;0.011553047005908645;0.008203725858827449;0.004283022100393996;0.011154622048178409;0.0023949128747213777;-0.0022341376228776078;0.004009087264466027;-0.006007751937984529;0.004334690660712015;-0.002481389578163906;0.018783984181907964;0.0033212996389890836;0.007705091403535258;0.0017701725918277678;0.018201875344732388;-0.004212049012933927;0.06288981288981277;0.0019047619047620756;0.007348543108604666;0.006452046508502063;-0.003145795523290973;0.00435729847494537;-0.009494100094941005;-0.0011261261261260591;0.008072110856989001;0.00337009803921573;0.0004170141784820558;-0.008784258608573459;-0.004415011037527616;-0.018150684931506844;0.005529387671513453;0.011964285714285872;-0.010645375914836941;-0.014832631789937767;-0.005730659025787954;0.008445945945946054;0.00526592943654558
2024-03-11;0.010823055625472033;-0.010784818821913067;-0.026212172347845675;-0.004636375678897853;-0.003376239713019591;-0.019659239842726106;-0.010653138871274503;-0.005207600281491809;-0.008417748608931408;0.0059223513928492455;0.019804691065072655;-0.00629009938357028;0.0028169014084507005;-0.006887532693984344;0.023224275300898434;0.007676560900716556;0.009271212299025944;0.00016477179106932915;-0.002686968204209661;0.005523758818048785;-0.004094365373367048;0.014909756735548063;0.03123667377398731;0.06162057253760311;0.004605641911341385;-0.005997001499250421;-0.006626417317037281;-0.002600216684723655;0.003332621234778843;0.0030154849225754177;0.034220532319391594;-0.0018661464076682455;0.007412353923205384;-0.005704575798033629;0.0010845986984817646;0.002601670546350743;0.015783540022547893;0.005872147337515177;-0.0009160305343511865;0.0;-0.0003544842254520342;-0.0011086474501108556;-0.0062783397279386755;-0.007942973523421548;-0.028057173107464473;-0.00470746469401484;0.008138351983723258;0.0;0.031825795644891075;-0.0005238344683080598
2024-03-12;0.0004980079681276006;0.02795041838825041;-0.004852125693160847;0.0;-0.009527842473004422;-0.011363636363636243;-0.00012818869375719188;-0.006649688737974113;-0.027625899280575572;-0.00021805494984727947;-0.006890996957222062;-0.006203316875553866;-0.002808988764044895;-0.0013168290755859458;0.003313452617627499;-0.008125952260030433;0.0036046511627907396;-0.00971993410214167;0.007184553210597411;-0.002382685816400776;-0.01644479248238062;-0.0020618556701030855;0.03514938488576447;-0.045246800731261416;0.015616045845272097;-0.007088989441930593;0.0019270678920841888;0.0067347382142080026;-0.00813354341438488;0.01974486064841141;0.04963235294117663;-0.0001699668564629775;-0.004474347076759977;-0.0057373046875;-0.010473094980137265;-0.0025949194209232695;0.004439511653718142;-0.000663393923311717;-0.01008557457212722;0.0;-0.007801418439716268;0.0011098779134295356;0.0043875043875043485;0.0008211866146581315;-0.009803921568627416;-0.004729729729729737;-0.004036326942482349;-0.011527377521613813;-0.02110389610389618;-0.0062893081761006275
2024-03-13;0.022896963663514125;-0.010268188880632412;0.008590666357092935;-0.001996273622571154;0.0027789653698162553;-0.014198782961460377;-0.0050000000000000044;0.011679247970374673;0.010210121337673739;-0.08418756815703377;-0.007119041182301444;0.0;0.0031690140845070935;-0.009317862165963309;0.01205416116248359;0.003754906980713457;0.005213764337852034;0.000499085010813527;-0.004904146232724171;-0.01466197837192329;-0.007066082802547724;-0.0123321280991735;-0.01917507240587235;-0.02632838678793681;-0.007899562702779028;0.0;0.0001479508803077234;-0.00820025895554588;0.019234071784303586;0.0015139442231075773;0.003502626970227629;-0.011559711007224749;-0.0038286113792987964;0.0761203192142419;-0.007481751824817473;-0.003970970833903853;-0.009944751381215533;-0.008762612851832219;-0.007409694350107965;-0.0002084201750730541;0.020407433881343806;-0.007206208425720617;0.008911410099598172;-0.014769230769230757;-0.006233956729006174;0.010183299389002087;0.004052684903748771;-0.005247813411078717;-0.00497512437810943;-0.007911392405063333
2024-03-14;-0.012408759124087565;-0.02470821104361476;-0.055593922651933636;0.001333511134818055;-0.023875506288637882;-0.01989026063100141;0.006571318129107162;0.016190342108968192;0.00805624725355214;0.08954512979280782;-0.008531493919041622;0.004840764331210057;-0.04878904878904888;-0.014196983141082531;-0.04095284712024805;-0.02159496684237372;-0.017173812816966283;-0.01330229464582644;-0.0017921146953403522;-0.0075410719095071466;-0.03217400020046113;-0.005360528208145365;0.0012558123748429573;0.010816125860373615;-0.004834352338973336;-0.01640589396931491;-0.002218934911242587;-0.022519582245430825;-0.009898904802021935;-0.007160474182512533;0.0046538685282140335;0.0043855877547509525;-0.014303856694071304;0.005134055904164381;-0.0061898633327205355;-0.006873797085510058;-0.008928571428571397;0.003482453790517148;-0.014930015552099607;-0.0037523452157598447;-0.017547546495744415;-0.004466778336125077;-0.020609629373051552;-0.020403914220279096;-0.024907749077490826;-0.0020161290322581182;0.01412714429868811;-0.026963657678780728;-0.029999999999999916;-0.013822434875066403
2024-03-15;-0.028332101502833384;0.022779760655049497;0.0549664838513102;0.0034625116526834088;0.0026206595326492277;-0.020293911826452127;0.019073220686123937;-0.02632308118592419;0.011479221156640573;-0.007431693989071064;-0.004027828634199926;-0.01559330628803246;0.0;0.010441044104410269;0.01803334467505957;-0.015119916579770631;0.009616512255189225;0.0026963262554768885;-0.009874326750448859;0.0013568521031208647;0.01770919635459811;0.0005257969109431215;-0.0073559322033899255;-0.0004863813229571967;0.00014287755393627144;0.01992277992277991;0.0008895478131949464;0.002671118530884753;0.0006381620931716903;0.009696289766808253;0.01852924145917778;0.00034246575342478103;0.03732962636468429;0.02724177071509648;0.0013566847557968664;0.005952380952380931;0.0022522522522523403;-0.03136679124399355;-0.005683612251341952;0.0382925298179535;0.012834224598930577;-0.011217049915872135;-0.0015915119363394403;0.0029755579171095725;-0.02100283822138127;-0.002020202020202033;-0.08019900497512444;0.01867469879518069;0.018900343642611617;0.004851752021563405
2024-03-18;0.05147058823529416;0.013513975845906412;0.0038123844731978718;-0.007033842070338414;0.008930516227401375;0.01571428571428557;-0.016455219193568627;0.006402959590210644;-0.012210889240051648;0.0022021581149527236;0.008547794117647056;0.011719253058596335;0.0014760147601475815;0.003919472652770484;-0.012533422459893084;0.029645314981471715;0.005807875479149738;0.0005042016806722227;-0.0004533091568449388;-0.004878048780487809;0.010684847868118519;0.00321881363725951;-0.0066933032817675375;-0.014111922141119226;0.003285714285714114;0.019079345850999463;-0.008591319804473363;-0.009546009546009593;-0.007397959183673475;0.044365079365079385;0.04661739624786798;-0.001882916809311963;-0.01961104755679033;0.09116022099447507;0.001847518167261919;-0.002752167331773747;-0.020224719101123556;-0.01488218272013242;0.022546840266751467;-0.07476823861346227;0.05385427666314668;0.027226318774815628;0.02727594757350338;0.004026276753549496;-0.022613065326633097;0.0;0.009086975335352632;0.016558249556475557;0.003372681281618828;-0.005901287553648049
2024-03-19;-0.031106824210272443;-0.005569808263570231;-0.0376337898492346;-0.012563485699011001;-0.02353195164075983;-0.033755274261603296;-0.002043422733077893;0.00028276544606242737;-0.005090168702734266;-0.16238189408921122;-0.006652692973662666;-0.010056008146639539;-0.005526897568165157;0.001242236024844745;0.007615501776950362;-0.0018851756640959616;-0.007391153712899889;-0.00688728372249281;-0.008616780045351491;-0.0014297385620914982;0.011880789367700206;-0.006547930853850192;0.010657682126035795;-0.02714708785784803;-0.024063790402961693;0.007429420505200568;-0.005378753922008039;0.0005603496581867429;-0.011907821468345792;0.016110646705676634;-0.01086366105377512;-0.030440747727662476;-0.019269878313052047;-0.009620253164556947;-0.04321367101057283;-0.010901062508624215;-0.002293577981651418;-0.01706532382151338;-0.0183229813664596;-0.02853408843389238;0.045357381429525834;-0.009387078961899498;-0.017241379310344862;-0.010552975939214893;0.028277634961439535;-0.012145748987854255;0.002144082332761643;0.0;-0.02857142857142858;-0.008094981111710697
2024-03-20;0.017172722747635483;0.016938796293153313;-0.005620664912700302;0.0018949648077963843;-0.015918638072076052;-0.019650655021834162;0.010493985154850227;-0.03915194346289752;0.017687472591726427;-0.010230849947534093;0.0016513761467891186;0.01594445158801605;-0.015561319007039609;0.020471464019851116;0.017803157541148806;0.00017170329670324058;0.012798138452588814;0.011332882273342282;-0.010978956999085132;0.01431785641235428;-0.009850746268656674;0.0017136831004482822;-0.023675885294417887;0.009132420091324311;-0.0008754012255617338;0.03525073746312679;0.0034550097641581345;-0.031137992831541172;0.019550893011964554;-0.0015705631590755553;-0.03349807797913229;-0.008932519678075623;0.010708093959275189;-0.03885480572597133;-0.03199486026341147;-0.020647321428571397;-0.0022988505747126853;-0.0099615767752953;-0.007592534008225349;0.008968609865470878;0.06415745415042484;0.01727982162764774;0.02140350877192998;0.037755972696245754;-0.01480769230769241;-0.006147540983606592;0.010911424903722766;-0.01105293775450844;-0.02249134948096876;-0.008705114254624613
